"","site_location_name","Grass","Shrub","Tree","vegetation_type"
"74","NSAMUL0002",1.8,15.5,19.2,"Tree"
"75","NSAMUL0003",0.4,6.2,16.3,"Tree"
"76","NSAMUL0004",0.2,0.4,40.9,"Tree"
"77","NSANAN0001",14.9,2.6,61.9,"Tree"
"78","NSANAN0002",3,1.6,46.8,"Tree"
"79","NSANET0001",3.9,11.2,44.8,"Tree"
"80","NSANET0002",13.2,0,64.5,"Tree"
"81","NSANET0003",3.9,2.8,65.3,"Tree"
"82","NSANET0004",8.2,0.4,55.7,"Tree"
"83","NSANSS0001",13,0.7,58.4,"Tree"
"84","NSANSS0002",2.2,1.8,57.8,"Tree"
"85","NSTNSS0001",3.7,2.8,50.9,"Tree"
"86","NSTSYB0001",6.6,37.9,38.9,"Tree"
"87","NSTSYB0002",3.1,21.8,64.5,"Tree"
"88","NSTSYB0003",2.5,25.7,57.1,"Tree"
"89","NSTSYB0004",4.1,13.7,71.3,"Tree"
"90","NSTSYB0005",9.9,24.3,49.2,"Tree"
"91","NSTSYB0006",1.1,17.4,55.2,"Tree"
"92","NSTSYB0007",16.5,8.7,56.2,"Tree"
"93","NSTSYB0008",13.7,1.2,55.3,"Tree"
"94","NSTSYB0009",16.9,35.3,26.7,"Shrub"
"95","NTAARP0001",21.3,3.1,44.8,"Tree"
"96","NTAARP0002",21.6,5.1,23.7,"Tree"
"97","NTAARP0003",6.3,3.5,19.4,"Tree"
"98","NTAARP0004",27.35,14.1,26.55,"Grass"
"99","NTAARP0005",21.15,14.55,40.45,"Tree"
"100","NTABRT0001",13.2,26.65,8.35,"Shrub"
"101","NTABRT0002",10.3,33.2,12,"Shrub"
"102","NTABRT0003",22.65,19.8,11.2,"Grass"
"103","NTABRT0004",14.65,29.7,0,"Shrub"
"104","NTABRT0005",35.35,1.65,1.15,"Grass"
"105","NTABRT0006",16.25,32.6,1.05,"Shrub"
"106","NTABRT0007",35.7,1,0.3,"Grass"
"107","NTABRT0008",8.8,17,0,"Shrub"
"108","NTADAC0001",50.9,11.2,29.6,"Grass"
"109","NTADAC0002",24.1,15.7,26.6,"Tree"
"110","NTADMR0001",20.3,4.4,0.1,"Grass"
"111","NTADMR0002",23.9,2.9,0.4,"Grass"
"112","NTAFIN0001",15.4333333333333,1.86666666666667,0.166666666666667,"Grass"
"113","NTAFIN0002",29.9666666666667,12.7,13.3,"Grass"
