"","Other_Veg","Grass","Shrub","Tree","site_unique","vegetation_type","site_location_name"
"1","0.792079207920792",4.15841584158416,1.88118811881188,33.5643564356436,"NSABBS0001-58580","Grass","NSABBS0001"
"2","1.38613861386139",5.34653465346535,18.9108910891089,25.7425742574257,"NSABBS0002-58555","Grass","NSABBS0002"
"3","0",0,12.1782178217822,40,"NSABBS0003-58581","Tree","NSABBS0003"
"4","0",0.099009900990099,2.37623762376238,60.3960396039604,"NSABBS0004-58556","Tree","NSABBS0004"
"5","0",0,10.1980198019802,50.6930693069307,"NSABBS0005-58582","Tree","NSABBS0005"
"6","0",0.198019801980198,5.34653465346535,59.4059405940594,"NSABBS0006-58557","Tree","NSABBS0006"
"7","0",10.2868447082097,16.2215628090999,0,"NSABHC0001-53596","Shrub","NSABHC0001"
"8","0",17.9207920792079,12.1782178217822,0,"NSABHC0002-53597","Grass","NSABHC0002"
"9","0",1.86274509803922,23.4313725490196,0,"NSABHC0003-53598","Shrub","NSABHC0003"
"10","0",22.7722772277228,13.960396039604,0,"NSABHC0004-53599","Grass","NSABHC0004"
"11","0",40.1980198019802,6.73267326732673,0,"NSABHC0005-53600","Shrub","NSABHC0005"
"12","0",32.8712871287129,17.6237623762376,0,"NSABHC0006-53601","Grass","NSABHC0006"
"13","0",20.8910891089109,20.8910891089109,0,"NSABHC0007-53602","Shrub","NSABHC0007"
"14","0",14.4117647058824,17.9411764705882,0,"NSABHC0008-53603","Shrub","NSABHC0008"
"15","0",23.0693069306931,18.4158415841584,0,"NSABHC0009-53604","Grass","NSABHC0009"
"16","0",24.6534653465347,19.5049504950495,0.396039603960396,"NSABHC0009-58026","Grass","NSABHC0009"
"17","0",5.83580613254204,9.00098911968348,0,"NSABHC0010-53605","Shrub","NSABHC0010"
"18","0",15.3921568627451,18.6274509803922,0,"NSABHC0011-53606","Shrub","NSABHC0011"
"19","0",22.156862745098,10.7843137254902,0,"NSABHC0012-53607","Grass","NSABHC0012"
"20","0",19.8019801980198,19.3069306930693,0,"NSABHC0012-58022","Grass","NSABHC0012"
"21","0",14.7233201581028,7.11462450592885,0,"NSABHC0013-53608","Shrub","NSABHC0013"
